有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
DHFI6　鴻海股票期貨2026/09,TW000DHFI600,2025/10/16,期貨及選擇權,,FFSCSX,
DHFL6　鴻海股票期貨2026/12,TW000DHFL604,2026/01/22,期貨及選擇權,,FFSCSX,
DIFC7　旺宏股票期貨2027/03,TW000DIFC700,2026/04/16,期貨及選擇權,,FFSCSX,
DIFE6　旺宏股票期貨2026/05,TW000DIFE607,2026/03/19,期貨及選擇權,,FFSCSX,
DIFF6　旺宏股票期貨2026/06,TW000DIFF604,2025/07/17,期貨及選擇權,,FFSCSX,
DIFI6　旺宏股票期貨2026/09,TW000DIFI608,2025/10/16,期貨及選擇權,,FFSCSX,
DIFL6　旺宏股票期貨2026/12,TW000DIFL602,2026/01/22,期貨及選擇權,,FFSCSX,
DJFC7　華碩股票期貨2027/03,TW000DJFC708,2026/04/16,期貨及選擇權,,FFSCSX,
DJFE6　華碩股票期貨2026/05,TW000DJFE605,2026/03/19,期貨及選擇權,,FFSCSX,
DJFF6　華碩股票期貨2026/06,TW000DJFF602,2025/07/17,期貨及選擇權,,FFSCSX,
DJFI6　華碩股票期貨2026/09,TW000DJFI606,2025/10/16,期貨及選擇權,,FFSCSX,
DJFL6　華碩股票期貨2026/12,TW000DJFL600,2026/01/22,期貨及選擇權,,FFSCSX,
DKFC7　廣達股票期貨2027/03,TW000DKFC706,2026/04/16,期貨及選擇權,,FFSCSX,
DKFE6　廣達股票期貨2026/05,TW000DKFE603,2026/03/19,期貨及選擇權,,FFSCSX,
DKFF6　廣達股票期貨2026/06,TW000DKFF600,2025/07/17,期貨及選擇權,,FFSCSX,
DKFI6　廣達股票期貨2026/09,TW000DKFI604,2025/10/16,期貨及選擇權,,FFSCSX,
DKFL6　廣達股票期貨2026/12,TW000DKFL608,2026/01/22,期貨及選擇權,,FFSCSX,
DLFC7　中華電股票期貨2027/03,TW000DLFC704,2026/04/16,期貨及選擇權,,FFSCSX,
DLFE6　中華電股票期貨2026/05,TW000DLFE601,2026/03/19,期貨及選擇權,,FFSCSX,
DLFF6　中華電股票期貨2026/06,TW000DLFF608,2025/07/17,期貨及選擇權,,FFSCSX,
DLFI6　中華電股票期貨2026/09,TW000DLFI602,2025/10/16,期貨及選擇權,,FFSCSX,
DLFL6　中華電股票期貨2026/12,TW000DLFL606,2026/01/22,期貨及選擇權,,FFSCSX,
DNFC7　玉山金股票期貨2027/03,TW000DNFC700,2026/04/16,期貨及選擇權,,FFSCSX,
DNFE6　玉山金股票期貨2026/05,TW000DNFE607,2026/03/19,期貨及選擇權,,FFSCSX,
DNFF6　玉山金股票期貨2026/06,TW000DNFF604,2025/07/17,期貨及選擇權,,FFSCSX,
DNFI6　玉山金股票期貨2026/09,TW000DNFI608,2025/10/16,期貨及選擇權,,FFSCSX,
DNFL6　玉山金股票期貨2026/12,TW000DNFL602,2026/01/22,期貨及選擇權,,FFSCSX,
DOFC7　元大金股票期貨2027/03,TW000DOFC708,2026/04/16,期貨及選擇權,,FFSCSX,
DOFE6　元大金股票期貨2026/05,TW000DOFE605,2026/03/19,期貨及選擇權,,FFSCSX,
DOFF6　元大金股票期貨2026/06,TW000DOFF602,2025/07/17,期貨及選擇權,,FFSCSX,
DOFI6　元大金股票期貨2026/09,TW000DOFI606,2025/10/16,期貨及選擇權,,FFSCSX,
DOFL6　元大金股票期貨2026/12,TW000DOFL600,2026/01/22,期貨及選擇權,,FFSCSX,
DPFC7　第一金股票期貨2027/03,TW000DPFC705,2026/04/16,期貨及選擇權,,FFSCSX,
DPFE6　第一金股票期貨2026/05,TW000DPFE602,2026/03/19,期貨及選擇權,,FFSCSX,
DPFF6　第一金股票期貨2026/06,TW000DPFF609,2025/07/17,期貨及選擇權,,FFSCSX,
DPFI6　第一金股票期貨2026/09,TW000DPFI603,2025/10/16,期貨及選擇權,,FFSCSX,
DPFL6　第一金股票期貨2026/12,TW000DPFL607,2026/01/22,期貨及選擇權,,FFSCSX,
DQFC7　群創股票期貨2027/03,TW000DQFC703,2026/04/16,期貨及選擇權,,FFSCSX,
DQFE6　群創股票期貨2026/05,TW000DQFE600,2026/03/19,期貨及選擇權,,FFSCSX,
DQFF6　群創股票期貨2026/06,TW000DQFF607,2025/07/17,期貨及選擇權,,FFSCSX,
DQFI6　群創股票期貨2026/09,TW000DQFI601,2025/10/16,期貨及選擇權,,FFSCSX,
DQFL6　群創股票期貨2026/12,TW000DQFL605,2026/01/22,期貨及選擇權,,FFSCSX,
DSFC7　宏碁股票期貨2027/03,TW000DSFC709,2026/04/16,期貨及選擇權,,FFSCSX,
DSFE6　宏碁股票期貨2026/05,TW000DSFE606,2026/03/19,期貨及選擇權,,FFSCSX,
DSFF6　宏碁股票期貨2026/06,TW000DSFF603,2025/07/17,期貨及選擇權,,FFSCSX,
DSFI6　宏碁股票期貨2026/09,TW000DSFI607,2025/10/16,期貨及選擇權,,FFSCSX,
DSFL6　宏碁股票期貨2026/12,TW000DSFL601,2026/01/22,期貨及選擇權,,FFSCSX,
DVFC7　聯發科股票期貨2027/03,TW000DVFC703,2026/04/16,期貨及選擇權,,FFSCSX,
